French,English
partie,part
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
écoute,listen
dont,whose
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
mis,placed
belle,beautiful
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
donne,given
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
